*a,Α
a)/gnumi,ἄγνυμι
a)/gnuon,ἄγνυον
a)gnu/s,ἀγνύς
a)gnw/dhs,ἀγνώδης
a)gnwmoneu/w,ἀγνωμονεύω
a)gnwmone/w,ἀγνωμονέω
a)gnwmosu/nh,ἀγνωμοσύνη
a)gnw/mwn,ἀγνώμων
a)gnw/ristos,ἀγνώριστος
a)gnw/s,ἀγνώς
a)gnwsi/a,ἀγνωσία
a)gnw/ssw,ἀγνώσσω
a)gnwsti/,ἀγνωστί
a)/gnwstos,ἄγνωστος
a)gnwti/dion,ἀγνωτίδιον
a)/gnwtos,ἄγνωτος
a)gchrai/nw,ἀγξηραίνω
a)/gcis,ἄγξις
a)go/ggustos,ἀγόγγυστος
a)goh/teutos,ἀγοήτευτος
a)go/mfios,ἀγόμφιος
a)go/natos,ἀγόνατος
a)gone/w,ἀγονέω
a)goni/a,ἀγονία
a)/gonos,ἄγονος
a)/goos,ἄγοος
a)gora/,ἀγορά
a)gora/zw,ἀγοράζω
a)gorai=os,ἀγοραῖος
a)goranome/w,ἀγορανομέω
a)goranomi/a,ἀγορανομία
a)goranomiko/s,ἀγορανομικός
a)gorano/mion,ἀγορανόμιον
a)gorano/mios,ἀγορανόμιος
a)gorano/mos,ἀγορανόμος
a)gora/omai,ἀγοράομαι
a)gorasei/w,ἀγορασείω
a)gorasi/a,ἀγορασία
a)go/rasis,ἀγόρασις
a)go/rasma,ἀγόρασμα
a)gorasmo/s,ἀγορασμός
a)gorasth/s,ἀγοραστής
a)gorastiko/s,ἀγοραστικός
a)gorasto/s,ἀγοραστός
a)gora/stria,ἀγοράστρια
a)goratro/s,ἀγορατρός
a)goratupei=s,ἀγορατυπεῖς
a)gora=xos,ἀγορᾶχος
a)go/reusis,ἀγόρευσις
a)goreuth/rion,ἀγορευτήριον
a)goreuth/s,ἀγορευτής
a)goreu/w,ἀγορεύω
a)gorhgo/s,ἀγορηγός
a)gorh=qen,ἀγορῆθεν
a)gorh/ios,ἀγορήιος
a)gorh/nde,ἀγορήνδε
a)gorhth/s,ἀγορητής
a)gorhtu/s,ἀγορητύς
a)gorh=fi,ἀγορῆφι
a)/goros,ἄγορος
a)gorri/on,ἀγορρίον
a)go/s1,ἀγόσ
a)/gos1,ἄγοσ
a)/gos2,ἄγος
a)gostai/,ἀγοσταί
a)gosto/s,ἀγοστός
a)/gouros,ἄγουρος
a)/gra,ἄγρα
a)/grade,ἄγραδε
a)grai=os,ἀγραῖος
a)grammati/a,ἀγραμματία
a)gra/mmatos,ἀγράμματος
a)/grammos,ἄγραμμος
a)gra/ndis,ἀγράνδις
a)/graptos,ἄγραπτος
a)graule/w,ἀγραυλέω
a)graulh/s,ἀγραυλής
a)grauli/a,ἀγραυλία
a)/graulos,ἄγραυλος
a)grafh/s,ἀγραφής
a)grafi/ou,ἀγραφίου
a)/grafos,ἄγραφος
a)/grei,ἄγρει
a)grei=os,ἀγρεῖος
a)greiosu/nh,ἀγρειοσύνη
a)grei=fna,ἀγρεῖφνα
a)gre/mion,ἀγρέμιον
a)gremw/n,ἀγρεμών
a)gresi/a,ἀγρεσία
a)gretai/,ἀγρεταί
a)greteu/w,ἀγρετεύω
a)greth/mata,ἀγρετήματα
a)gre/ths,ἀγρέτης
a)/greuma,ἄγρευμα
a)greu/s,ἀγρεύς
a)greu/simos,ἀγρεύσιμος
a)/greusis,ἄγρευσις
a)greutei=,ἀγρευτεῖ
a)greuth/r,ἀγρευτήρ
a)greuth/s,ἀγρευτής
a)greutiko/s,ἀγρευτικός
a)greuti/s,ἀγρευτίς
a)greuto/s,ἀγρευτός
a)greu/w,ἀγρεύω
a)gre/w,ἀγρέω
a)/grhqen,ἄγρηθεν
a)grhno/n,ἀγρηνόν
a)gri/a,ἀγρία
a)gri/aze,ἀγρίαζε
a)griai/nw,ἀγριαίνω
a)gria/nqrwpos,ἀγριάνθρωπος
a)gri/appis,ἀγρίαππις
a)gria/s,ἀγριάς
a)griaxra/s,ἀγριαχράς
a)gria/w,ἀγριάω
a)gri/dion,ἀγρίδιον
a)grielai/a,ἀγριελαία
a)griela/inos,ἀγριελάινος
a)grie/laios,ἀγριέλαιος
a)grieu/s,ἀγριεύς
a)grieu/w,ἀγριεύω
a)gri/zw,ἀγρίζω
a)griko/s,ἀγρικός
a)grimai=os,ἀγριμαῖος
a)grime/lissa,ἀγριμέλισσα
a)/grinoi,ἄγρινοι
a)grioappi/dion,ἀγριοαππίδιον
a)grioba/lanos,ἀγριοβάλανος
a)grio/boulos,ἀγριόβουλος
a)griodai/ths,ἀγριοδαίτης
a)grio/eis,ἀγριόεις
a)grio/qumos,ἀγριόθυμος
a)grioka/nabos,ἀγριοκάναβος
a)grioka/rdamon,ἀγριοκάρδαμον
a)grio/kardon,ἀγριόκαρδον
a)grioka/ruon,ἀγριοκάρυον
a)griokina/ra,ἀγριοκινάρα
a)griokokku/mhlon,ἀγριοκοκκύμηλον
a)griokoloku/nth,ἀγριοκολοκύντη
a)griokro/mmuon,ἀγριοκρόμμυον
a)grioku/minon,ἀγριοκύμινον
a)griola/xana,ἀγριολάχανα
a)grioleixh/n,ἀγριολειχήν
a)gri/olon,ἀγρίολον
a)griomala/xh,ἀγριομαλάχη
a)griome/litta,ἀγριομέλιττα
a)grio/morfos,ἀγριόμορφος
a)griomuri/kh,ἀγριομυρίκη
a)griomu/rmhc,ἀγριομύρμηξ
a)grio/nous,ἀγριόνους
a)grioph/ganon,ἀγριοπήγανον
a)griophgo/s,ἀγριοπηγός
a)griopoie/w,ἀγριοποιέω
a)griopoio/s,ἀγριοποιός
a)grio/prason,ἀγριόπρασον
a)griori/ganos,ἀγριορίγανος
a)grio/rrodon,ἀγριόρροδον
a)/grios,ἄγριος
a)griose/linon,ἀγριοσέλινον
a)griosi/kuon,ἀγριοσίκυον
a)griostafi/des,ἀγριοσταφίδες
a)griostafuli/ths,ἀγριοσταφυλίτης
a)grio/ths,ἀγριότης
a)grio/fagros,ἀγριόφαγρος
a)griofanh/s,ἀγριοφανής
a)grio/fullon,ἀγριόφυλλον
a)grio/futa,ἀγριόφυτα
a)grio/fwnos,ἀγριόφωνος
a)grio/xoiros,ἀγριόχοιρος
a)grioywri/a,ἀγριοψωρία
a)grio/w,ἀγριόω
*)agrippiastai/,Ἀγριππιασταί
a)/grippos,ἄγριππος
a)gri/s,ἀγρίς
a)gri/ths,ἀγρίτης
a)gri/fh,ἀγρίφη
a)griw/dhs,ἀγριώδης
*)agriw/nios,Ἀγριώνιος
a)griwpo/s,ἀγριωπός
a)grobo/as,ἀγροβόας
a)grobo/ths,ἀγροβότης
a)grogei/twn,ἀγρογείτων
a)grodi/aitos,ἀγροδίαιτος
a)grodo/ths,ἀγροδότης
a)gro/qen,ἀγρόθεν
a)/groqi^,ἄγροθι^
a)groikeu/omai,ἀγροικεύομαι
a)groikhro/s,ἀγροικηρός
a)groiki/a,ἀγροικία
a)groiki/zomai,ἀγροικίζομαι
a)groikiko/s,ἀγροικικός
a)groikopurrw/neios,ἀγροικοπυρρώνειος
a)/groikos,ἄγροικος
a)groiko/sofos,ἀγροικόσοφος
a)groikw/dhs,ἀγροικώδης
a)groiw/ths,ἀγροιώτης
a)grokh/pion,ἀγροκήπιον
a)gro/khpos,ἀγρόκηπος
a)groko/mos,ἀγροκόμος
a)grole/teira,ἀγρολέτειρα
a)groliko/s,ἀγρολικός
a)gromenh/s,ἀγρομενής
a)gro/nde,ἀγρόνδε
a)grono/mhs,ἀγρονόμης
a)grono/mos,ἀγρονόμος
a)gropo/nos,ἀγροπόνος
a)gro/s,ἀγρός
a)grote/ktwn,ἀγροτέκτων
a)gro/teros,ἀγρότερος
a)groth/r,ἀγροτήρ
a)gro/ths,ἀγρότης
a)grou=ai,ἀγροῦαι
a)/grofon,ἄγροφον
a)grofu/lac,ἀγροφύλαξ
a)/gruktos,ἄγρυκτος
a)grupne/w,ἀγρυπνέω
a)grupnhte/on,ἀγρυπνητέον
a)grupnhth/r,ἀγρυπνητήρ
a)grupnhth/s,ἀγρυπνητής
a)grupnhtiko/s,ἀγρυπνητικός
a)grupni/a,ἀγρυπνία
a)/grupnos,ἄγρυπνος
a)grupnw/dhs,ἀγρυπνώδης
a)/grwma,ἄγρωμα
a)/grwssa,ἄγρωσσα
a)grw/ssw,ἀγρώσσω
a)grw/sths,ἀγρώστης
a)grwsti=nos,ἀγρωστῖνος
a)/grwstis,ἄγρωστις
a)grwsth/r,ἀγρωστήρ
a)grw/thr,ἀγρώτηρ
a)grw/ths,ἀγρώτης
a)/guia,ἄγυια
a)guiai=os,ἀγυιαῖος
a)guia/ths,ἀγυιάτης
a)guia=tis,ἀγυιᾶτις
*)aguieu/s,Ἀγυιεύς
*)agui/hos,Ἀγυίηος
a)guio/peza,ἀγυιόπεζα
a)guioplaste/w,ἀγυιοπλαστέω
a)/guios,ἄγυιος
a)gumnasi/a,ἀγυμνασία
a)gu/mnastos,ἀγύμναστος
a)gu/naic,ἀγύναιξ
a)gurei=,ἀγυρεῖ
a)guri/zein,ἀγυρίζειν
a)/guris,ἄγυρις
a)gurismo/s,ἀγυρισμός
a)/gurma,ἄγυρμα
a)gurmo/s,ἀγυρμός
a)gurta/zw,ἀγυρτάζω
a)gurtei/a,ἀγυρτεία
a)gurteuth/s,ἀγυρτευτής
a)gurteu/w,ἀγυρτεύω
a)gurth/r,ἀγυρτήρ
a)gu/rths,ἀγύρτης
a)gurtiko/s,ἀγυρτικός
a)gurto/s,ἀγυρτός
a)gu/rtria,ἀγύρτρια
a)/guyos,ἄγυψος
a)gx,ἀγχ
a)gxa/zw,ἀγχάζω
a)/gxarmon,ἄγχαρμον
a)/gxauros,ἄγχαυρος
a)gxe/maxos,ἀγχέμαχος
a)gxemwli/a,ἀγχεμωλία
a)gxh/rhs,ἀγχήρης
a)/gxi^,ἄγχι^
a)gxi/alos,ἀγχίαλος
a)gxibaqh/s,ἀγχιβαθής
a)gxibasi/h,ἀγχιβασίη
a)gxibate/w,ἀγχιβατέω
a)gxiba/ths,ἀγχιβάτης
a)gxi/bion,ἀγχίβιον
a)gxiblw/s,ἀγχιβλώς
a)gxi/gamos,ἀγχίγαμος
a)gxigei/twn,ἀγχιγείτων
a)gxi/guos,ἀγχίγυος
a)gxidi/ai,ἀγχιδίαι
a)gxi/domos,ἀγχίδομος
a)gxi/zw,ἀγχίζω
a)gxiqa/lassos,ἀγχιθάλασσος
a)gxi/qeos,ἀγχίθεος
a)gxiqure/w,ἀγχιθυρέω
a)gxi/quros,ἀγχίθυρος
a)gxike/leuqos,ἀγχικέλευθος
a)gxi/krhmnos,ἀγχίκρημνος
a)gxi/krhnos,ἀγχίκρηνος
a)gxila/,ἀγχιλά
a)gxilexh/s,ἀγχιλεχής
a)gxi/lwy,ἀγχίλωψ
a)gxi/mastron,ἀγχίμαστρον
a)gximaxhth/s,ἀγχιμαχητής
a)gxi/maxos,ἀγχίμαχος
a)gximole/w,ἀγχιμολέω
a)gxi/molos,ἀγχίμολος
a)/gximos,ἄγχιμος
a)gxi/mousos,ἀγχίμουσος
a)gxinefh/s,ἀγχινεφής
a)gxi/noia,ἀγχίνοια
a)gxi/noos,ἀγχίνοος
a)gxi/ploos,ἀγχίπλοος
a)gxi/polis,ἀγχίπολις
a)gxi/poros,ἀγχίπορος
a)gxi/pous,ἀγχίπους
a)gxi/rroos,ἀγχίρροος
a)gxi/sporos,ἀγχίσπορος
a)gxistei/a1,ἀγχιστεία1
a)gxistei=a2,ἀγχιστεῖα2
a)gxisteu/s,ἀγχιστεύς
a)gxisteutiko/s,ἀγχιστευτικός
a)gxisteu/w,ἀγχιστεύω
a)gxisth/r,ἀγχιστήρ
a)gxistiko/s,ἀγχιστικός
a)gxisti/ndhn,ἀγχιστίνδην
a)gxisti=nos,ἀγχιστῖνος
a)/gxistos,ἄγχιστος
a)gxi/strofos,ἀγχίστροφος
a)gxitelh/s,ἀγχιτελής
a)gxite/rmwn,ἀγχιτέρμων
a)gxito/kos,ἀγχιτόκος
a)gxifanh/s,ἀγχιφανής
a)gxi/frwn,ἀγχίφρων
a)gxi/futos,ἀγχίφυτος
a)gxi/wn,ἀγχίων
a)gxoa/dhn,ἀγχοάδην
a)gxo/qen,ἀγχόθεν
a)/gxoqi,ἄγχοθι
a)gxo/moros,ἀγχόμορος
a)gxona/w,ἀγχονάω
a)gxo/nh,ἀγχόνη
a)gxoni/zw,ἀγχονίζω
a)gxo/nios,ἀγχόνιος
a)gxonisth/s,ἀγχονιστής
a)gxo/se,ἀγχόσε
a)gxota/tw,ἀγχοτάτω
a)gxo/teros,ἀγχότερος
a)gxou=,ἀγχοῦ
a)gxou/rhs,ἀγχούρης
a)/gxouros1,ἄγχουροσ
a)/gxouros2,ἄγχουρος
a)gxou=ros3,ἀγχοῦροϲ
a)/gxousa,ἄγχουσα
a)gxousi/zomai,ἀγχουσίζομαι
a)/gxran,ἄγχραν
a)gxu/nwy,ἀγχύνωψ
a)/gxw,ἄγχω
a)gxw/malos,ἀγχώμαλος
a)/gw,ἄγω
a)gwgai=os,ἀγωγαῖος
a)gwgei=on,ἀγωγεῖον
a)gwgeu/s,ἀγωγεύς
a)gwgh/,ἀγωγή
a)gwgika/,ἀγωγικά
a)gw/gimos,ἀγώγιμος
a)gw/gion,ἀγώγιον
a)gwgo/s,ἀγωγός
a)gwi/lion,ἀγωίλιον
a)gw/n,ἀγών
a)gwna/rxhs,ἀγωνάρχης
a)gwni/a,ἀγωνία
a)gwnia/ths,ἀγωνιάτης
a)gwnia/w,ἀγωνιάω
a)gwni/zomai,ἀγωνίζομαι
a)gwniko/s,ἀγωνικός
a)gw/nios1,ἀγώνιοσ
a)gw/nios2,ἀγώνιος
a)gw/nisis,ἀγώνισις
a)gw/nisma,ἀγώνισμα
a)gwnismo/s,ἀγωνισμός
a)gwniste/on,ἀγωνιστέον
a)gwnisth/rios,ἀγωνιστήριος
a)gwnisth/s,ἀγωνιστής
a)gwnistiko/s,ἀγωνιστικός
a)gwnodi/khs,ἀγωνοδίκης
a)gwnoqesi/a,ἀγωνοθεσία
a)gwnoqete/w,ἀγωνοθετέω
a)gwnoqeth/r,ἀγωνοθετήρ
a)gwnoqe/ths,ἀγωνοθέτης
a)gwnoqetiko/s,ἀγωνοθετικός
a)gwnoqe/tis,ἀγωνοθέτις
a)gwnoqh/kh,ἀγωνοθήκη
a)gwnologi/a,ἀγωνολογία
a)/gwnos1,ἄγωνοσ
a)/gwnos2,ἄγωνος
a)gwno/triy,ἀγωνότριψ
a)dagmo/s,ἀδαγμός
a)/da(dos,ἄδἁδος
a)da(dou/xhtos,ἀδἁδούχητος
a)dahmoni/a,ἀδαημονία
a)dah/mwn,ἀδαήμων
a)dah/s,ἀδαής
a)da/htos,ἀδάητος
a)dai/daltos,ἀδαίδαλτος
a)dai/etos,ἀδαίετος
a)da/i+ktos,ἀδάϊκτος
a)da/i+os,ἀδάϊος
a)dai=os,ἀδαῖος
a)/daitos,ἄδαιτος
a)dai/treutos,ἀδαίτρευτος
a)/daitros,ἄδαιτρος
a)/dakrus,ἄδακρυς
a)dakruti/,ἀδακρυτί
a)da/krutos,ἀδάκρυτος
a)daktw=,ἀδακτῶ
a)dale/s,ἀδαλές
a)dama/ntinos,ἀδαμάντινος
a)damanto/detos,ἀδαμαντόδετος
a)damantope/dilos,ἀδαμαντοπέδιλος
a)da/mas,ἀδάμας
a)damasti/,ἀδαμαστί
a)da/mastos,ἀδάμαστος
a)da/matos,ἀδάματος
a)damnei=s,ἀδαμνεῖς
a)damnh/s,ἀδαμνής
a)/damos,ἄδαμος
a)/dan,ἄδαν
a)da/neistos,ἀδάνειστος
a)daca/w,ἀδαξάω
a)da/panos,ἀδάπανος
a)/dapton,ἄδαπτον
a)da/rkh,ἀδάρκη
a)/dartos,ἄδαρτος
a)/dasmos,ἄδασμος
a)/dastos,ἄδαστος
a)dauw=s,ἀδαυῶς
a)daxe/w,ἀδαχέω
a)/ddauon,ἄδδαυον
a)/ddic,ἄδδιξ
a)/de,ἄδε
a)dealto/w,ἀδεαλτόω
a)deh/s1,ἀδεήσ
a)deh/s2,ἀδεής
a)de/htos,ἀδέητος
a)/deia1,ἄδεια1
a)/deia2,ἄδεια2
*)adeiga/nes,Ἀδειγάνες
a)deigma/tistos,ἀδειγμάτιστος
a)deih/s,ἀδειής
a)/deiktos,ἄδεικτος
a)/deilos,ἄδειλος
a)dei/mantos,ἀδείμαντος
a)/deimos,ἄδειμος
a(dei=n,ἁδεῖν
a)/deios,ἄδειος
a)/deipnos,ἄδειπνος
a)deisi/a,ἀδεισία
a)deisibo/as,ἀδεισιβόας
a)deisidaimoni/a,ἀδεισιδαιμονία
a)deisidai/mwn,ἀδεισιδαίμων
a)deisi/qeos,ἀδεισίθεος
a)de/kastos,ἀδέκαστος
a)deka/teutos,ἀδεκάτευτος
a)/dektos,ἄδεκτος
a)de/lesxos,ἀδέλεσχος
a)delfea/,ἀδελφεά
a)delfeokto/nos,ἀδελφεοκτόνος
a)delfh/,ἀδελφή
a)delfide/os,ἀδελφιδέος
a)delfidh=,ἀδελφιδῆ
a)delfidh=s,ἀδελφιδῆς
a)delfi/dion,ἀδελφίδιον
a)delfi/zw,ἀδελφίζω
a)delfiko/s,ἀδελφικός
a)de/lficis,ἀδέλφιξις
a)de/lfion,ἀδέλφιον
a)delfi/s,ἀδελφίς
a)delfodo/ths,ἀδελφοδότης
a)delfo/qen,ἀδελφόθεν
a)delfokto/nos,ἀδελφοκτόνος
a)delfoktone/w,ἀδελφοκτονέω
a)delfoktoni/a,ἀδελφοκτονία
a)delfomici/a,ἀδελφομιξία
a)delfo/pais,ἀδελφόπαις
a)delfopoio/s,ἀδελφοποιός
a)delfoprepw=s,ἀδελφοπρεπῶς
a)delfo/s,ἀδελφός
a)delfo/ths,ἀδελφότης
a)de/mnios,ἀδέμνιος
a)/dendros,ἄδενδρος
a)denoeidh/s,ἀδενοειδής
a)de/cios,ἀδέξιος
a)derkh/s,ἀδερκής
a)/derktos,ἄδερκτος
a)de/rmatos,ἀδέρματος
a)de/smeutos,ἀδέσμευτος
a)de/smios,ἀδέσμιος
a)/desmos,ἄδεσμος
a)de/spotos,ἀδέσποτος
a)/detos,ἄδετος
a)detoxi/twn,ἀδετοχίτων
a)deu/htos,ἀδεύητος
a)deukh/s,ἀδευκής
a)de/yhtos,ἀδέψητος
a)de/w,ἀδέω
a)dh=,ἀδῆ
a)dh/i+os,ἀδήϊος
a(/dhke,ἅδηκε
a)/dhktos,ἄδηκτος
a)dhle/w,ἀδηλέω
a)dh/lhtos,ἀδήλητος
a)dhli/a,ἀδηλία
a)dhlopoie/w,ἀδηλοποιέω
a)dhlopoio/s,ἀδηλοποιός
a)/dhlos,ἄδηλος
a)dhlo/ths,ἀδηλότης
a)dhlo/flebos,ἀδηλόφλεβος
a)dhlo/w,ἀδηλόω
a(/dhma,ἅδημα
a)dhmiou/rghtos,ἀδημιούργητος
a)dhmokra/thtos,ἀδημοκράτητος
a)dhmone/w,ἀδημονέω
a)dhmoni/a,ἀδημονία
a)/dhmos,ἄδημος
a)dhmosu/nh,ἀδημοσύνη
a)dh/mwn,ἀδήμων
a(/dhn,ἅδην
a)dh/n,ἀδήν
a)dhnh/s,ἀδηνής
a)/dhris,ἄδηρις
a)dh/ritos,ἀδήριτος
a(dh/sw,ἁδήσω
a)dhfage/w,ἀδηφαγέω
a)dhfagi/a,ἀδηφαγία
a)dhfa/gos,ἀδηφάγος
a)dh/wtos,ἀδήωτος
a)dia/batos,ἀδιάβατος
a)diabebai/wtos,ἀδιαβεβαίωτος
a)diabi/bastos,ἀδιαβίβαστος
a)dia/blhtos,ἀδιάβλητος
a)dia/bolos,ἀδιάβολος
a)dia/gluptos,ἀδιάγλυπτος
a)dia/glufos,ἀδιάγλυφος
a)dia/gnwstos,ἀδιάγνωστος
a)dia/gwgos,ἀδιάγωγος
a)dia/doxos,ἀδιάδοχος
a)dia/drastos,ἀδιάδραστος
a)dia/zeuktos,ἀδιάζευκτος
a)dia/qetos,ἀδιάθετος
a)diai/retos,ἀδιαίρετος
a)diai/thtos,ἀδιαίτητος
a)diaki/nhtos,ἀδιακίνητος
a)dia/kleistos,ἀδιάκλειστος
a)diako/nhtos,ἀδιακόνητος
a)diako/ntistos,ἀδιακόντιστος
a)dia/kopos,ἀδιάκοπος
a)diako/reutos,ἀδιακόρευτος
a)diako/smhtos,ἀδιακόσμητος
a)diakrisi/a,ἀδιακρισία
a)dia/kritos,ἀδιάκριτος
a)diakwlu/tws,ἀδιακωλύτως
a)dia/leiptos,ἀδιάλειπτος
a)dia/lektos,ἀδιάλεκτος
a)dialhpteu/w,ἀδιαληπτεύω
a)dia/lhptos,ἀδιάληπτος
a)dialhyi/a,ἀδιαληψία
a)dia/llaktos,ἀδιάλλακτος
a)dialo/gistos,ἀδιαλόγιστος
a)dia/lutos,ἀδιάλυτος
a)dialw/bhton,ἀδιαλώβητον
a)diama/rthtos,ἀδιαμάρτητος
a)diame/ristos,ἀδιαμέριστος
a)diamo/rfwtos,ἀδιαμόρφωτος
a)dianohsi/a,ἀδιανοησία
a)dianohteu/omai,ἀδιανοητεύομαι
a)diano/htos,ἀδιανόητος
a)di/antos,ἀδίαντος
a)dia/cestos,ἀδιάξεστος
a)diapa/thtos,ἀδιαπάτητος
a)dia/paustos,ἀδιάπαυστος
a)dia/peptos,ἀδιάπεπτος
a)dia/plastos,ἀδιάπλαστος
a)diapneuste/w,ἀδιαπνευστέω
a)diapneusti/a,ἀδιαπνευστία
a)dia/pneustos,ἀδιάπνευστος
a)diapo/nhtos,ἀδιαπόνητος
a)diapo/reutos,ἀδιαπόρευτος
a)dia/ptaistos,ἀδιάπταιστος
a)diaptwsi/a,ἀδιαπτωσία
a)dia/ptwtos,ἀδιάπτωτος
a)di/arqros,ἀδίαρθρος
a)dia/rqrwtos,ἀδιάρθρωτος
a)diari/pistos,ἀδιαρίπιστος
a)dia/rreustos,ἀδιάρρευστος
a)dia/rrhktos,ἀδιάρρηκτος
a)dia/rroia,ἀδιάρροια
a)dia/seistos,ἀδιάσειστος
a)diaske/dastos,ἀδιασκέδαστος
a)diaske/ptws,ἀδιασκέπτως
a)dia/skeuos,ἀδιάσκευος
a)dia/skopos,ἀδιάσκοπος
a)dia/spastos,ἀδιάσπαστος
a)dia/staltos,ἀδιάσταλτος
a)diastasi/a,ἀδιαστασία
a)dia/statos,ἀδιάστατος
a)dia/stiktos,ἀδιάστικτος
a)dia/stolos,ἀδιάστολος
a)dia/stomos,ἀδιάστομος
a)diastre/ptws,ἀδιαστρέπτως
a)dia/strofos,ἀδιάστροφος
a)dia/sfaltos,ἀδιάσφαλτος
a)dia/sxistos,ἀδιάσχιστος
a)dia/swstos,ἀδιάσωστος
a)dia/taktos,ἀδιάτακτος
a)dia/tmhtos,ἀδιάτμητος
a)dia/treptos,ἀδιάτρεπτος
a)diatreyi/a,ἀδιατρεψία
a)diatu/pwtos,ἀδιατύπωτος
a)di/aulos,ἀδίαυλος
a)dia/fqartos,ἀδιάφθαρτος
a)dia/fqoros,ἀδιάφθορος
a)diafore/w,ἀδιαφορέω
a)diaforhtiko/s,ἀδιαφορητικός
a)diafo/rhtos,ἀδιαφόρητος
a)diafori/a,ἀδιαφορία
a)dia/foros,ἀδιάφορος
a)dia/fraktos,ἀδιάφρακτος
a)dia/xutos,ἀδιάχυτος
a)diaxw/rhtos,ἀδιαχώρητος
a)diaxw/ristos,ἀδιαχώριστος
a)dia/yeustos,ἀδιάψευστος
a)di/daktos,ἀδίδακτος
a)die/gguos,ἀδιέγγυος
a)die/kbatos,ἀδιέκβατος
a)die/kdutos,ἀδιέκδυτος
a)die/caktos,ἀδιέξακτος
a)diece/rgastos,ἀδιεξέργαστος
a)diece/tastos,ἀδιεξέταστος
a)diech/ghtos,ἀδιεξήγητος
a)dieci/thtos,ἀδιεξίτητος
a)dieco/deutos,ἀδιεξόδευτος
a)die/codos,ἀδιέξοδος
a)die/rgastos,ἀδιέργαστος
a)diereu/nhtos,ἀδιερεύνητος
a)dieukri/nhtos,ἀδιευκρίνητος
a)diexh/s,ἀδιεχής
a)dih/ghtos,ἀδιήγητος
a)dih/qhtos,ἀδιήθητος
a)dikai/arxos,ἀδικαίαρχος
a)dikaiodo/thtos,ἀδικαιοδότητος
a)di/kastos,ἀδίκαστος
a)di/keusis,ἀδίκευσις
a)dike/w,ἀδικέω
a)di/kh,ἀδίκη
a)di/khma,ἀδίκημα
a)dikhte/on,ἀδικητέον
a)dikhth/s,ἀδικητής
a)dikhtiko/s,ἀδικητικός
a)dikh/w,ἀδικήω
a)diki/a,ἀδικία
a)di/kion,ἀδίκιον
a)dikodoce/w,ἀδικοδοξέω
a)dikodoci/a,ἀδικοδοξία
a)dikokrisi/a,ἀδικοκρισία
a)dikomaxe/w,ἀδικομαχέω
a)dikomaxi/a,ἀδικομαχία
a)diko/maxos,ἀδικόμαχος
a)dikomh/xanos,ἀδικομήχανος
a)dikoph/mwn,ἀδικοπήμων
a)dikoprage/w,ἀδικοπραγέω
a)dikopra/ghma,ἀδικοπράγημα
a)dikopragh/s,ἀδικοπραγής
a)/dikos,ἄδικος
a)diko/tropos,ἀδικότροπος
a)diko/xeir,ἀδικόχειρ
a)dikoxrh/matos,ἀδικοχρήματος
a(dino/s,ἁδινός
a(/dicis,ἅδιξις
a)dio/deutos,ἀδιόδευτος
a)dioikhsi/a,ἀδιοικησία
a)dioi/khtos,ἀδιοίκητος
a)di/opos,ἀδίοπος
a)dio/ratos,ἀδιόρατος
a)diorga/nwtos,ἀδιοργάνωτος
a)dio/rqwtos,ἀδιόρθωτος
a)dioristi/a,ἀδιοριστία
a)dio/ristos,ἀδιόριστος
a)diou/nios,ἀδιούνιος
a)diplasi/astos,ἀδιπλασίαστος
a)di/plastos,ἀδίπλαστος
a)di/plwtos,ἀδίπλωτος
a)/dis,ἄδις
a)di/staktos,ἀδίστακτος
a)di/stonon,ἀδίστονον
a)diu/listos,ἀδιύλιστος
a)di/xastos,ἀδίχαστος
a)diye/w,ἀδιψέω
a)/diyos,ἄδιψος
a)di/wktos,ἀδίωκτος
a)diw/motos,ἀδιώμοτος
a)dmai/nein,ἀδμαίνειν
a)dmh/s,ἀδμής
a)dmh=tis,ἀδμῆτις
a)/dmhtos,ἄδμητος
a|dmoli/h,ᾳδμολίη
a)/dmwnes,ἄδμωνες
a)dno/s,ἀδνός
*(aidoba/ths,Ἁιδοβάτης
a(do/qen,ἁδόθεν
a)doia/stws,ἀδοιάστως
a)dokei=,ἀδοκεῖ
a)do/khtos,ἀδόκητος
a)doki/a,ἀδοκία
a)doki/mastos,ἀδοκίμαστος
a)do/kimos,ἀδόκιμος
a)dolesxe/w,ἀδολεσχέω
a)dole/sxhs,ἀδολέσχης
a)dolesxi/a,ἀδολεσχία
a)dolesxiko/s,ἀδολεσχικός
a)do/lesxos,ἀδόλεσχος
a)doli/eutos,ἀδολίευτος
a)/dolos,ἄδολος
a(/don,ἅδον
a)do/nhtos,ἀδόνητος
a)doni/s,ἀδονίς
a)doca/zw,ἀδοξάζω
a)do/castos,ἀδόξαστος
a)doce/w,ἀδοξέω
a)do/chma,ἀδόξημα
a)doci/a,ἀδοξία
a)docopoi/htos,ἀδοξοποίητος
a)/docos,ἄδοξος
a)/doros,ἄδορος
a)/dorpos,ἄδορπος
a)dorufo/rhtos,ἀδορυφόρητος
a(/dos1,ἅδοσ
a(/dos2,ἅδος
a(=dos3,ἇδοϲ
a)/dotos,ἄδοτος
a)doulagw/ghtos,ἀδουλαγώγητος
